Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
97,Saturday Jul 20,boxscore,WSN,@,ATL,W,5,3,,52-45,2,5.5,Sánchez,Soroka,Doolittle,3:14,N,42467,1.66,+,
98,Sunday Jul 21,boxscore,WSN,@,ATL,L,1,7,,52-46,2,6.5,Gausman,Ross,,3:02,N,31848,1.8,-,
99,Tuesday Jul 23,boxscore,WSN,,COL,W,11,1,,53-46,2,5.5,Strasburg,Lambert,,3:37,N,22612,1.34,+,
100,Wednesday Jul 24 (1),boxscore,WSN,,COL,W,3,2,,54-46,2,4,Suero,Estévez,Doolittle,3:03,D,14628,1.44,++,2019-07-22 (Inclement Weather)
101,Wednesday Jul 24 (2),boxscore,WSN,,COL,W,2,0,,55-46,2,4,Corbin,Freeland,Doolittle,3:07,N,23843,1.45,+++,
102,Thursday Jul 25,boxscore,WSN,,COL,L,7,8,,55-47,2,4.5,Díaz,Rodney,Davis,3:46,D,26831,1.53,-,
103,Friday Jul 26,boxscore,WSN,,LAD,L,2,4,,55-48,2,5.5,Kelly,Sipp,Jansen,3:20,N,37491,1.45,--,
104,Saturday Jul 27,boxscore,WSN,,LAD,L,3,9,,55-49,2,6.5,Kershaw,Ross,,3:06,D,39616,1.4,---,
105,Sunday Jul 28,boxscore,WSN,,LAD,W,11,4,,56-49,2,5.5,Strasburg,Buehler,,3:09,D,32425,1.34,+,
106,Monday Jul 29,boxscore,WSN,,ATL,W,6,3,,57-49,2,4.5,Corbin,Keuchel,,3:23,N,24292,1.77,++,
107,Tuesday Jul 30,boxscore,WSN,,ATL,L,8,11,,57-50,2,5.5,Teheran,Fedde,,3:47,N,26566,1.92,-,
108,Wednesday Jul 31,boxscore,WSN,,ATL,L,4,5,10,57-51,2,6.5,Newcomb,Doolittle,Tomlin,3:14,D,31576,1.77,--,
109,Friday Aug 2,boxscore,WSN,@,ARI,W,3,0,,58-51,2,6,Ross,Young,Doolittle,2:43,N,24298,1.37,+,
110,Saturday Aug 3,boxscore,WSN,@,ARI,L,7,18,,58-52,2,7,Ray,Strasburg,,3:46,N,33966,1.44,-,
111,Sunday Aug 4,boxscore,WSN,@,ARI,L,5,7,,58-53,2,7,Hirano,Suero,Bradley,3:07,D,22976,1.41,--,
112,Monday Aug 5,boxscore,WSN,@,SFG,W,4,0,,59-53,2,6,Fedde,Samardzija,,3:12,N,32366,1.42,+,
113,Tuesday Aug 6,boxscore,WSN,@,SFG,W,5,3,,60-53,2,6,Sánchez,Menez,Doolittle,2:45,N,31628,1.5,++,
114,Wednesday Aug 7,boxscore,WSN,@,SFG,W,4,1,,61-53,2,6,Ross,Anderson,,2:59,D,30958,1.49,+++,
115,Friday Aug 9,boxscore,WSN,@,NYM,L-wo,6,7,,61-54,2,6.5,Avilán,Doolittle,,3:20,N,39602,1.69,-,
116,Saturday Aug 10,boxscore,WSN,@,NYM,L,3,4,,61-55,2,6.5,Lugo,Rodney,,2:34,N,43875,1.59,--,
117,Sunday Aug 11,boxscore,WSN,@,NYM,W,7,4,,62-55,2,6.5,Grace,Gsellman,Doolittle,3:35,D,41000,1.62,+,
118,Monday Aug 12,boxscore,WSN,,CIN,W,7,6,,63-55,2,6,Fedde,DeSclafani,Doolittle,3:11,N,22394,1.47,++,
119,Tuesday Aug 13,boxscore,WSN,,CIN,W,3,1,,64-55,2,6,Ross,Wood,Hudson,2:38,N,30130,1.5,+++,
120,Wednesday Aug 14,boxscore,WSN,,CIN,W,17,7,,65-55,2,6,Strasburg,Bauer,Guerra,3:38,D,23596,1.47,++++,
121,Friday Aug 16,boxscore,WSN,,MIL,W,2,1,,66-55,2,4.5,Strickland,Guerra,Doolittle,3:00,N,30091,1.62,+++++,
122,Saturday Aug 17,boxscore,WSN,,MIL,L,14,15,14,66-56,2,5.5,Guerra,Guerra,,5:40,N,36953,1.64,-,
123,Sunday Aug 18,boxscore,WSN,,MIL,W,16,8,,67-56,2,5.5,Fedde,Anderson,,3:24,D,30571,1.62,+,
124,Monday Aug 19,boxscore,WSN,@,PIT,W,13,0,,68-56,2,5,Guerra,Williams,,3:16,N,11284,1.44,++,
125,Tuesday Aug 20,boxscore,WSN,@,PIT,L,1,4,,68-57,2,6,Vazquez,Suero,,3:00,N,10449,1.48,-,
126,Wednesday Aug 21,boxscore,WSN,@,PIT,W,11,1,,69-57,2,6,Corbin,Musgrove,,2:54,N,10577,1.45,+,
127,Thursday Aug 22,boxscore,WSN,@,PIT,W,7,1,,70-57,2,6,Strickland,Brault,,3:19,N,10587,1.4,++,
128,Friday Aug 23,boxscore,WSN,@,CHC,W,9,3,,71-57,2,6,Sánchez,Lester,,3:10,D,39889,1.49,+++,
129,Saturday Aug 24,boxscore,WSN,@,CHC,W,7,2,,72-57,2,6,Suero,Quintana,,3:56,D,40658,1.4,++++,
130,Sunday Aug 25,boxscore,WSN,@,CHC,W,7,5,11,73-57,2,6,Hudson,Chatwood,,4:35,D,40518,1.27,+++++,
131,Tuesday Aug 27,boxscore,WSN,,BAL,L,0,2,,73-58,2,5.5,Brooks,Corbin,Givens,2:52,N,24946,1.02,-,
132,Wednesday Aug 28,boxscore,WSN,,BAL,W,8,4,,74-58,2,5.5,Suero,Wojciechowski,,3:12,N,25174,1.08,+,
133,Friday Aug 30,boxscore,WSN,,MIA,W-wo,7,6,,75-58,2,5.5,Hudson,Stanek,,3:35,N,26201,1.03,++,
134,Saturday Aug 31,boxscore,WSN,,MIA,W,7,0,,76-58,2,5.5,Strasburg,López,,2:31,N,27539,0.91,+++,
135,Sunday Sep 1,boxscore,WSN,,MIA,W,9,3,,77-58,2,5.5,Corbin,Smith,,2:46,D,29345,0.82,++++,
136,Monday Sep 2,boxscore,WSN,,NYM,L,3,7,,77-59,2,6.5,Syndergaard,Ross,,3:08,D,25329,0.75,-,
137,Tuesday Sep 3,boxscore,WSN,,NYM,W-wo,11,10,,78-59,2,6.5,Guerra,Díaz,,3:17,N,20759,0.77,+,
138,Wednesday Sep 4,boxscore,WSN,,NYM,L,4,8,,78-60,2,7,Wheeler,Sánchez,,3:24,D,20237,0.69,-,
139,Thursday Sep 5,boxscore,WSN,@,ATL,L,2,4,,78-61,2,8,Fried,Strasburg,,2:57,N,28831,0.9,--,
140,Friday Sep 6,boxscore,WSN,@,ATL,L,3,4,,78-62,2,9,Keuchel,Corbin,Greene,3:20,N,37181,0.83,---,
141,Saturday Sep 7,boxscore,WSN,@,ATL,L,4,5,,78-63,2,10,Teheran,Voth,Melancon,3:29,N,40467,0.84,----,
142,Sunday Sep 8,boxscore,WSN,@,ATL,W,9,4,,79-63,2,9,Scherzer,Soroka,,3:16,D,31789,0.94,+,
143,Tuesday Sep 10,boxscore,WSN,@,MIN,L,0,5,,79-64,2,9.5,Berríos,Sánchez,,2:32,N,24813,0.72,-,
144,Wednesday Sep 11,boxscore,WSN,@,MIN,W,6,2,,80-64,2,9.5,Strasburg,Pérez,,3:12,N,20062,0.86,+,
145,Thursday Sep 12,boxscore,WSN,@,MIN,W,12,6,,81-64,2,8.5,Corbin,Gibson,,3:45,N,19167,0.66,++,
146,Friday Sep 13,boxscore,WSN,,ATL,L,0,5,,81-65,2,9.5,Soroka,Scherzer,,3:16,N,39730,0.62,-,
147,Saturday Sep 14,boxscore,WSN,,ATL,L,1,10,,81-66,2,10.5,Foltynewicz,Suero,,3:29,D,39664,0.7,--,
148,Sunday Sep 15,boxscore,WSN,,ATL,W,7,0,,82-66,2,9.5,Sánchez,Fried,,3:03,D,29350,1.02,+,
149,Monday Sep 16,boxscore,WSN,@,STL,L,2,4,,82-67,2,10,Hudson,Doolittle,Martínez,3:04,N,42812,0.98,-,
150,Tuesday Sep 17,boxscore,WSN,@,STL,W,6,2,,83-67,2,9,Corbin,Mikolas,Hudson,3:21,N,44061,1.42,+,
151,Wednesday Sep 18,boxscore,WSN,@,STL,L,1,5,,83-68,2,9,Wainwright,Scherzer,Martínez,2:55,D,37669,1.17,-,
152,Friday Sep 20,boxscore,WSN,@,MIA,W,6,4,,84-68,2,9.5,Sánchez,Dugger,Hudson,3:13,N,12775,1.11,+,
153,Saturday Sep 21,boxscore,WSN,@,MIA,W,10,4,10,85-68,2,9.5,Suero,Ureña,,4:20,N,18085,0.71,++,
154,Sunday Sep 22,boxscore,WSN,@,MIA,L,3,5,,85-69,2,9.5,García,Suero,Brigham,3:13,D,19709,0.38,-,
155,Monday Sep 23,boxscore,WSN,,PHI,W,7,2,,86-69,2,9,Corbin,Eflin,,3:19,N,19788,0.55,+,
156,Tuesday Sep 24 (1),boxscore,WSN,,PHI,W,4,1,,87-69,2,7.5,Rainey,Vincent,Hudson,3:07,D,23442,0.3,++,2019-06-18 (Rain)
157,Tuesday Sep 24 (2),boxscore,WSN,,PHI,W,6,5,,88-69,2,7.5,Scherzer,Nola,Hudson,3:06,N,22214,0.22,+++,
158,Wednesday Sep 25,boxscore,WSN,,PHI,W,5,2,,89-69,2,7.5,Sánchez,Morin,Doolittle,2:45,N,22091,0.23,++++,
159,Thursday Sep 26,boxscore,WSN,,PHI,W,6,3,,90-69,2,7,Strasburg,Vargas,Hudson,3:26,D,22253,0.25,+++++,
160,Friday Sep 27,boxscore,WSN,,CLE,W,8,2,,91-69,2,6,Voth,Goody,,2:44,N,27434,0.2,++++++,
161,Saturday Sep 28,boxscore,WSN,,CLE,W,10,7,,92-69,2,5,Hudson,Plutko,,3:10,D,38435,0.05,+++++++,
162,Sunday Sep 29,boxscore,WSN,,CLE,W,8,2,,93-69,2,4,Ross,Clevinger,,2:50,D,36764,0,++++++++,
