Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
135,Thursday Aug 31,boxscore,WSN,,MIA,L,1,6,,62-73,4,27,Garrett,Adon,,2:21,N,17428,0.03,--,
136,Friday Sep 1,boxscore,WSN,,MIA,L,5,8,11,62-74,5,28,Scott,Garcia,,3:18,N,27930,0.01,---,
137,Saturday Sep 2,boxscore,WSN,,MIA,L,5,11,,62-75,5,29,Cueto,Williams,,2:37,D,30389,0.01,----,
138,Sunday Sep 3,boxscore,WSN,,MIA,L,4,6,,62-76,5,29,Alcántara,Finnegan,Scott,2:53,D,26196,0,-----,
139,Tuesday Sep 5,boxscore,WSN,,NYM,L,5,11,,62-77,5,29,Quintana,Corbin,,2:34,N,22897,0,------,
140,Wednesday Sep 6,boxscore,WSN,,NYM,W-wo,3,2,,63-77,5,28,Finnegan,Bickford,,2:35,N,24297,0,+,
141,Friday Sep 8,boxscore,WSN,,LAD,L,5,8,,63-78,5,29.5,Vesia,Garcia,Phillips,3:08,N,32561,0,-,
142,Saturday Sep 9,boxscore,WSN,,LAD,W-wo,7,6,11,64-78,5,28.5,Machado,Varland,,3:15,D,34562,0,+,
143,Sunday Sep 10,boxscore,WSN,,LAD,L,3,7,,64-79,5,29.5,Suero,Williams,,3:06,D,27546,0,-,
144,Monday Sep 11,boxscore,WSN,@,PIT,W,6,2,,65-79,5,29,Corbin,Jackson,,2:24,N,10045,0,+,
145,Tuesday Sep 12,boxscore,WSN,@,PIT,L,1,5,,65-80,5,30,Falter,Adon,,2:22,N,9222,0,-,
146,Wednesday Sep 13,boxscore,WSN,@,PIT,L,6,7,,65-81,5,31,Priester,Rutledge,Bednar,2:38,N,9883,0,--,
147,Thursday Sep 14,boxscore,WSN,@,PIT,L,0,2,,65-82,5,31.5,Keller,Gray,Bednar,1:50,D,10728,0,---,
148,Friday Sep 15,boxscore,WSN,@,MIL,L,3,5,,65-83,5,31.5,Miley,Irvin,Williams,2:29,N,35428,0,----,
149,Saturday Sep 16,boxscore,WSN,@,MIL,L,5,9,,65-84,5,31.5,Payamps,Finnegan,,3:09,N,36212,0,-----,
150,Sunday Sep 17,boxscore,WSN,@,MIL,W,2,1,11,66-84,5,30.5,Garcia,Vieira,,3:15,D,31865,0,+,
151,Monday Sep 18,boxscore,WSN,,CHW,L,1,6,,66-85,5,30.5,Clevinger,Adon,,2:30,N,20977,0,-,
152,Tuesday Sep 19,boxscore,WSN,,CHW,W,4,3,,67-85,5,30.5,Garcia,Bummer,Finnegan,2:13,N,23936,0,+,
153,Wednesday Sep 20,boxscore,WSN,,CHW,W,13,3,,68-85,5,29.5,Gray,Banks,,2:47,D,23275,0,++,
154,Thursday Sep 21,boxscore,WSN,,ATL,L,3,10,,68-86,5,30.5,Fried,Irvin,,3:12,N,28100,0,-,
155,Friday Sep 22,boxscore,WSN,,ATL,L,6,9,,68-87,5,31.5,Tonkin,Corbin,Iglesias,3:01,N,36297,0,--,
156,Sunday Sep 24 (1),boxscore,WSN,,ATL,W,3,2,,69-87,5,31.5,Rutledge,Winans,Finnegan,2:23,D,31989,0,+,2023-09-23 (Rain)
157,Sunday Sep 24 (2),boxscore,WSN,,ATL,L,5,8,,69-88,5,31.5,Strider,Adon,,2:57,N,34501,0,-,
158,Tuesday Sep 26,boxscore,WSN,@,BAL,L,0,1,,69-89,5,32.5,Bradish,Gray,Cano,2:21,N,20823,0,--,
159,Wednesday Sep 27,boxscore,WSN,@,BAL,L,1,5,,69-90,5,33.5,Rodriguez,Corbin,,2:28,N,24278,0,---,
160,Friday Sep 29,boxscore,WSN,@,ATL,W,10,6,,70-90,5,33,Weems,Hand,,3:16,N,41481,0,+,
161,Saturday Sep 30,boxscore,WSN,@,ATL,L,3,5,,70-91,5,34,Strider,Weems,Iglesias,3:00,N,41652,0,-,
162,Sunday Oct 1,boxscore,WSN,@,ATL,W,10,9,,71-91,5,33,Harvey,Tonkin,Finnegan,3:09,D,40697,0,+,
